date,symbol,security_name,premarket_pub,before_eps_date,after_eps_date,Adj Close,Close,Adj Close_pct_change,Close_pct_change,EPS Estimate,Reported EPS,Surprise(%),premarket
2023-01-25,RES,"RPC, Inc. Common Stock",1,2023-01-24,2023-01-25,9.600000381469728,9.600000381469728,0.1175786043004383,0.1175786043004383,0.29,0.4,0.3879,1.0
2023-01-25,SEIC,SEI Investments Company - Common Stock,0,2023-01-25,2023-01-26,61.90999984741211,61.90999984741211,-0.0179251435866795,-0.0179251435866795,0.8,0.83,0.0426999999999999,
2023-01-25,SLG,SL Green Realty Corp Common Stock,0,2023-01-25,2023-01-26,37.209999084472656,37.209999084472656,-0.0111613598650268,-0.0111613598650268,0.01,-1.01,-102.0,
2023-01-25,STLD,"Steel Dynamics, Inc. - Common Stock",0,2023-01-25,2023-01-26,121.44000244140624,121.44000244140624,0.0999003569735608,0.0999003569735608,3.79,4.37,0.1516,
2023-01-25,STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),0,2023-01-25,2023-01-26,69.01000213623047,69.01000213623047,0.1085944118269954,0.1085944118269954,0.1,0.16,0.6512000000000001,
2023-01-25,T,AT&T Inc.,1,2023-01-24,2023-01-25,20.420000076293945,20.420000076293945,0.065762016644902,0.065762016644902,0.57,0.61,0.0696,1.0
2023-01-25,TDY,Teledyne Technologies Incorporated Common Stock,1,2023-01-24,2023-01-25,429.5,429.5,0.0467439859948772,0.0467439859948772,4.54,4.94,0.0872,1.0
2023-01-25,TEL,TE Connectivity Ltd. New Switzerland Registered Shares,1,2023-01-24,2023-01-25,123.56999969482422,123.56999969482422,-0.008664274511304,-0.008664274511304,1.51,1.53,0.0141,1.0
2023-01-25,TFIN,"Triumph Financial, Inc. - Common Stock",0,2023-01-25,2023-01-26,53.97999954223633,53.97999954223633,0.0396764531190441,0.0396764531190441,0.64,0.67,0.0496,
2023-01-25,TXT,Textron Inc. Common Stock,1,2023-01-24,2023-01-25,70.1500015258789,70.1500015258789,0.007902342870917,0.007902342870917,1.08,1.07,-0.0113999999999999,1.0
2023-01-25,URI,"United Rentals, Inc. Common Stock",0,2023-01-25,2023-01-26,431.4800109863281,431.4800109863281,0.0993681178870495,0.0993681178870495,10.38,9.74,-0.0619,
2023-01-25,UVSP,Univest Financial Corporation - Common Stock,0,2023-01-25,2023-01-26,26.36000061035156,26.36000061035156,0.0325107677784051,0.0325107677784051,0.74,0.82,0.1031,
2023-01-25,WASH,"Washington Trust Bancorp, Inc. - Common Stock",0,2023-01-25,2023-01-26,42.08000183105469,42.08000183105469,-0.1008546470716207,-0.1008546470716207,1.09,0.95,-0.1292,
2023-01-25,WOLF,"Wolfspeed, Inc. Common Stock",0,2023-01-25,2023-01-26,77.08999633789062,77.08999633789062,-0.0594192630671301,-0.0594192630671301,-0.12,-0.11,0.1119999999999999,
2023-01-26,ABCB,Ameris Bancorp - Common Stock,0,2023-01-26,2023-01-27,46.459999084472656,46.459999084472656,-0.0070528280529521,-0.0070528280529521,1.34,1.18,-0.1193999999999999,
2023-01-26,ADM,Archer-Daniels-Midland Company Common Stock,1,2023-01-25,2023-01-26,84.9000015258789,84.9000015258789,-0.0078298255385623,-0.0078298255385623,1.65,1.93,0.1694999999999999,1.0
2023-01-26,AIT,"Applied Industrial Technologies, Inc. Common Stock",1,2023-01-25,2023-01-26,136.39999389648438,136.39999389648438,0.1135602602278205,0.1135602602278205,1.67,2.05,0.23,1.0
2023-01-26,AJG,Arthur J. Gallagher & Co. Common Stock,0,2023-01-26,2023-01-27,193.80999755859375,193.80999755859375,-0.0174398095888783,-0.0174398095888783,1.5,1.3,-0.1319,
2023-01-26,AMAL,Amalgamated Financial Corp. - Common Stock,1,2023-01-25,2023-01-26,23.86000061035156,23.86000061035156,0.0293356469466459,0.0293356469466459,0.74,0.83,0.1206,1.0
2023-01-26,ASB,Associated Banc-Corp Common Stock,0,2023-01-26,2023-01-27,21.979999542236328,21.979999542236328,-0.0248447804145935,-0.0248447804145935,0.66,0.7,0.0611,
2023-01-26,AX,"Axos Financial, Inc. Common Stock",1,2023-01-25,2023-01-26,42.060001373291016,42.060001373291016,0.0076664993281325,0.0076664993281325,1.23,1.35,0.102,1.0
2023-01-26,LYTS,LSI Industries Inc. - Common Stock,1,2023-01-25,2023-01-26,14.979999542236328,14.979999542236328,0.1478926684515844,0.1478926684515844,0.18,0.26,0.4717,1.0
2023-01-26,MA,Mastercard Incorporated Common Stock,1,2023-01-25,2023-01-26,377.239990234375,377.239990234375,-0.0134679887465087,-0.0134679887465087,2.58,2.65,0.0283999999999999,1.0
2023-01-26,MATW,Matthews International Corporation - Class A Common Stock,0,2023-01-26,2023-01-27,34.58000183105469,34.58000183105469,-0.0793397080212944,-0.0793397080212944,0.54,0.53,-0.0185,
2023-01-26,MBLY,Mobileye Global Inc. - Class A Common Stock,1,2023-01-25,2023-01-26,35.970001220703125,35.970001220703125,0.0594992757693468,0.0594992757693468,0.17,0.27,0.5754,1.0
2023-01-26,MIXT,"MiX Telematics Limited American Depositary Shares, each representing 25 Ordinary Shares",1,2023-01-25,2023-01-26,8.0600004196167,8.0600004196167,0.11634358086356,0.11634358086356,,0.1,,1.0
2023-01-26,MMC,"Marsh & McLennan Companies, Inc. Common Stock",1,2023-01-25,2023-01-26,175.66000366210938,175.66000366210938,0.0137350236586961,0.0137350236586961,1.41,1.47,0.0424,1.0
2023-01-26,NOC,Northrop Grumman Corporation Common Stock,1,2023-01-25,2023-01-26,443.4700012207031,443.4700012207031,-0.042780994536162,-0.042780994536162,6.57,7.5,0.1407,1.0
2023-01-26,NTCT,"NetScout Systems, Inc. - Common Stock",1,2023-01-25,2023-01-26,36.060001373291016,36.060001373291016,0.1393365500130621,0.1393365500130621,0.68,1.0,0.4706,1.0
